Edge,Ollivier-Ricci Curvature
"('115', '694')",0.025000000000001465
"('115', '704')",-0.02945301542776968
"('115', '756')",-0.012258064516128764
"('115', '761')",-0.03978494623655826
"('115', '802')",0.006166982922202191
"('115', '816')",-0.02806451612903227
"('115', '857')",-0.04262672811059853
"('115', '871')",-0.015552995391703739
"('115', '877')",-0.011385199240985466
"('115', '900')",-0.014688940092164371
"('115', '905')",-0.05872622001654171
"('115', '923')",-0.03436185133239733
"('115', '936')",0.0153958944281537
"('115', '989')",-0.03903225806451571
"('115', '991')",-0.03519061583577687
"('129', '38')",-0.058035714285713524
"('129', '54')",-0.01860744297719097
"('129', '98')",-0.029457065845206465
"('129', '112')",-0.012801484230053228
"('129', '114')",-0.041639236339696906
"('129', '146')",-0.04282622139764958
"('129', '152')",-0.0038961038961025096
"('129', '169')",-0.04305624688899945
"('129', '173')",-0.004813246053138487
"('129', '185')",-0.05691609977324119
"('129', '188')",-0.022556390977443108
"('129', '203')",-0.03316326530612179
"('129', '219')",-0.07674319727891032
"('129', '226')",-0.09126984126984095
"('129', '244')",-0.023753763800602234
"('129', '275')",-0.059523809523808424
"('129', '303')",-0.012471655328798681
"('129', '305')",-0.023061224489795862
"('129', '307')",-0.046938775510201314
"('129', '308')",-0.0482625482625485
"('129', '321')",-0.04376417233560059
"('129', '344')",-0.06179138321995592
"('129', '371')",-0.010714285714285232
"('129', '383')",-0.056122448979591955
"('129', '399')",-0.08208616780045275
"('129', '404')",-0.023873700423565403
"('129', '407')",-0.008959681433549305
"('129', '428')",-0.011798469387755084
"('129', '436')",0.0024737167594313103
"('129', '446')",-0.06277728482697387
"('129', '468')",-0.045418167266906506
"('129', '520')",-0.07474489795918271
"('129', '541')",-0.01319493314567155
"('129', '612')",-0.06632653061224358
"('129', '639')",-0.010204081632653406
"('129', '654')",-0.0759084121453455
"('129', '660')",-0.03469387755101816
"('129', '685')",-0.034077782056218586
"('129', '688')",-0.004870129870129247
"('129', '702')",-0.028138528138527352
"('129', '756')",-0.0577551020408158
"('129', '835')",-0.007653061224488944
"('129', '875')",-0.04924578527062984
"('129', '892')",-0.03011040481766436
"('129', '920')",-0.052821128451380206
"('129', '947')",-0.03942486085343133
"('129', '976')",-0.05676020408163174
"('129', '990')",-0.04375648564510448
"('168', '34')",0.004895960832313473
"('168', '45')",-0.023630504833512367
"('168', '69')",-0.07894736842105288
"('168', '83')",-0.05079230333899276
"('168', '92')",-0.00340136054421758
"('168', '135')",-0.04187355180403873
"('168', '145')",0.010721247563351577
"('168', '146')",-0.0007974481658690191
"('168', '151')",-0.04862700228833017
"('168', '156')",-0.012247600132407
"('168', '159')",-0.031484962406015615
"('168', '193')",-0.02653508771929891
"('168', '204')",-0.019198940748097026
"('168', '224')",0.0013157894736859355
"('168', '229')",-0.0020363408521311133
"('168', '230')",-0.03176043557168673
"('168', '284')",-0.019783501306458007
"('168', '288')",-0.027385537013264516
"('168', '299')",-0.0407636738906092
"('168', '304')",-0.013157894736841591
"('168', '327')",0.01754385964912164
"('168', '339')",-0.023574561403510108
"('168', '345')",-0.00015948963317335973
"('168', '371')",-0.028508771929822707
"('168', '372')",-0.012609649122808042
"('168', '387')",-0.013247404224847825
"('168', '413')",-0.040873460246361404
"('168', '426')",-0.09157038938810413
"('168', '442')",-0.05381697486960557
"('168', '495')",-0.04729214340198329
"('168', '499')",-0.025799793601651633
"('168', '516')",-0.043261562998405
"('168', '545')",-0.04135338345864792
"('168', '564')",0.026472431077693037
"('168', '616')",-0.0046439628482988216
"('168', '633')",-0.007627765064836867
"('168', '635')",-0.026315789473684736
"('168', '671')",-0.043859649122808264
"('168', '710')",-0.017543859649123528
"('168', '711')",0.008771929824560432
"('168', '713')",0.012167515563102027
"('168', '718')",-0.013784461152882788
"('168', '779')",-0.040100250626565304
"('168', '790')",-0.048338932437477444
"('168', '796')",-0.012488849241748756
"('168', '817')",-0.032939491586108094
"('168', '840')",0.015789473684212463
"('168', '843')",-0.08771929824561475
"('168', '847')",-0.02506265664160412
"('168', '876')",-0.032760472610096514
"('168', '919')",-0.00292397660818855
"('168', '925')",0.00048732943469653733
"('168', '932')",-0.047327621379029905
"('168', '960')",-0.03061900033101672
"('168', '988')",-0.012982456140350429
